FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
SEMANA Nº45   PROVISIONAL;;;;;;;;;;;;
Nov. 2025;;Con Proyecciones;;;;;;;;;;
;23.15-23.30h;Desmontaje Ópera en Concierto FAIRY QUEEN;;;;;;;;;;
Domingo;00.00-03.00h;Cambio a BALLET SWAN LAKE;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;;
16;08.30-10.00h;Montaje BALLET SWAN LAKE;;;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.00-10.30h;EXPERIENCIA TURISMO;;;;;;;;;;
;10.30-14.30h;Montaje BALLET SWAN LAKE;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-18.30h;Montaje BALLET SWAN LAKE;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.00-22.00h;Montaje BALLET SWAN LAKE;;;;;;;;;;
;22.00h;Llegada Camiones 1 y 2  BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Descarga Camiones 1 y 2 BALLET SWAN LAKE;;;;;;;;;;
;;;;;;;;;;;;
Nov. 2025;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
;22.30-23.15h;Montaje BALLET SWAN LAKE;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
SEMANA Nº47   PROVISIONAL;;;;;;;;;;;;
FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
Lunes;06.30h;Llegada Camiones 3 y 4 BALLET SWAN LAKE               ;;;;;;;;;;
;08.00-09.00h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;;
17;09.00-10.00h;Descarga Camiones 3 y 4 (durante todo el día);;;;;;;;;;
;;Inicio jornada personal BALLET SWAN LAKE;;;;;;;;;;
;;Montaje BALLET SWAN LAKE;;;;;;;;;;
;;           Colgado elementos luminotecnia;;;;;;;SALA DE CORO;;;
;;           Colgado y Montaje Sonido;;;;;;;11.00-14.00h;E. Musical Coro;;
;;           Colgado y Montaje Escenografía;;;;;;;16.00-19.00h;E. Musical Coro;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Descarga Camiones 3 y 4 - continuación;;;;;;;;;;
;;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;14.30-15.00h;VISITA GENERAL;;;;;;;;;;
;15.00-16.00h;Descarga Camiones 3 y 4 - continuación;;;;;;;;;;
;;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;15.00-18.30h;Descarga Camiones 3 y 4 - continuación;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.00-22.00h;Descarga Camiones 3 y 4 - continuación;;;;;;;;;;
;;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
;22.00h;Salida Camiones 3 y 4 del TR   ;;;;;;;;;;
;22.00h;Fin jornada personal BALLET SWAN LAKE;;;;;;;;;;
Nov. 2025;22.30-23.15h;Ajustes Técnicos BALLET SWAN LAKE;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Martes;06.30h;Llegada Camiones 5 y 6 BALLET SWAN LAKE               ;;;;;;;;;;
;08.00-09.00h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;SALÓN FALLA;
;09.00h;Inicio jornada personal BALLET SWAN LAKE;;;;;;;XX.XX-XX.XXh; MUSEO REINA SOFIA;08.00h;Montaje acto
18;09.00-10.00h;Descarga Camiones 3 y 4 (durante todo el día);;;;;;;;;;ONYX & HOYMILES
;;Montaje BALLET SWAN LAKE;;;;;;;;;;
