FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº23   PROVISIONAL,,,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026,22.30-23.15h,Desmontaje ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº25   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
15,08.30-10.00h,Montaje Luces IL TROVATORE,,,,,,,11.00-14.00h,L.O. Cto. VIII Ciclo OSM (1),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O. Cto. VIII Ciclo OSM (2),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje Luces IL TROVATORE,,,,,,,SALA DE CORO,,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Montaje Luces IL TROVATORE,,,,,,,,,,
,15.30-18.00h,Montaje IL TROVATORE,,,16.00-19.00h,E.Piano IL TROVATORE,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje IL TROVATORE,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026,22.30-23.15h,Montaje IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
16,08.30-10.00h,Montaje IL TROVATORE,,,,,,,11.00-14.00h,L.O. Cto. VIII Ciclo OSM (3),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O. Cto. VIII Ciclo OSM (4),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje IL TROVATORE,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Montaje IL TROVATORE,,,,,,,,,,
,15.30-18.00h,Montaje IL TROVATORE,,,16.00-19.00h,E.Piano IL TROVATORE,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje IL TROVATORE,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026,22.30-23.15h,Montaje IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,AUDITORIO NACIONAL,
17,08.30-10.00h,Montaje IL TROVATORE,SE HIZO EN TEMPORADA 18-19 Y NO HUBO PRE-GRABACION TECNICA,,,,,,,,17.30-18.30h,E. General Cto.Auditorio
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,19.30h,Concierto Auditorio VIII                       
,10.00-10.30h,VISITA GENERAL,,,,,,,,,," Mº Don Ettinger, OSM"
,10.30-14.30h,Montaje IL TROVATORE,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Montaje IL TROVATORE,,,,,,,,,,
,16.00-18.00h,Grabación Técnica IL TROVATORE,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Grabación Técnica IL TROVATORE,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026,22.30-23.15h,Grabación Técnica IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
18,08.30-10.00h,Dirección Luces IL TROVATORE,,,,,,,11.00-14.00h,L.O.  IL TROVATORE (1),,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,16.00-19.00h,L.O.  IL TROVATORE (2),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces IL TROVATORE,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
