FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
,15.00- 16.00h,Dossier Técnico ENEMIGO DEL PUEBLO,,,,,,,,,,
,16.00-18.00h,Cambio a ENEMIGO DEL PUEBLO,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
17,08.30-10.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,18.30-19.30h, Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ENEMIGO DEL PUEBLO   03/04,,,,,,,,,,
,,,,,,,,,,,,
,21.00-22.00h,Cambio a EVENTO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Cambio a EVENTO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,"EVENTO CONSEJO ESTADO                           
FOSO Y CORBATA",,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,SALÓN DE BAILE,
18,,,,,,,,,,,20.00h,Flamenco Real 5        1/3
,,,,,,,,,,,,Sonia Miranda & Aitana Rousseau
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,18.30-19.30h, Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00- 16.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ENEMIGO DEL PUEBLO   04/04,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,a 00.00h,Desmontaje ENEMIGO DEL PUEBLO ,,,,,,,,,,
Jueves,00.00-07.00h,Desmontaje ENEMIGO DEL PUEBLO ,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,SALÓN DE BAILE,
19,08.30-10.00h,Cambio a ÓPERA EN CONCIERTO GIULIO CESARE ,,,,,,,11.00-14.00h,L.O. Cto. V Ciclo OSM (1),20.00h,Flamenco Real 5        2/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,11.00-14.00h,L.O. Cto. V Ciclo OSM (2),,Sonia Miranda & Aitana Rousseau
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ÓPERA EN CONCIERTO GIULIO CESARE ,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-20.00h,E. Musical CORO,,
,15.00-16.00h,Preparación Ensayo,,,,,,,,,,
,XX.XX-XX.XXh,Preparación Ensayo + Limpieza,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,XX.XX-XX.XXh,Ensayo general concierto,,,,,,,,,,
,a 18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00h,ÓPERA EN CONCIERTO:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             GIULIO CESARE IN EGITTO 1/2                                  ,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,SALÓN DE BAILE,
20,08.30-10.00h,Cambio a ARIADNA Y BARBAZUL,,,,,,,,,20.00h,Flamenco Real 5        3/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,Sonia Miranda & Aitana Rousseau
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ARIADNA Y BARBAZUL   06/06,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,a 00.00h,Desmontaje ARIADNA Y BARBAZUL,,,,,,,,,,
Sábado,00.00-07.00h,Desmontaje ARIADNA Y BARBAZUL,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,,
21,08.30-10.00h,Cambio a ÓPERA EN CONCIERTO GIULIO CESARE ,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ÓPERA EN CONCIERTO GIULIO CESARE ,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
