FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº14   PROVISIONAL,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,RESERVADA                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
11,08.30-10.00h,E.Luces NOVIA VENDIDA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces NOVIA VENDIDA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-18.00h,Preparación ensayo + Limpieza,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,19.00h,E.General La NOVIA VENDIDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,,,,,,,,,,
,,,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Abr. 2026,22.30-23.45h,Ajustes Técnicos NOVIA VENDIDA,,,,,,,,,,
,23.45-00.00h,Cambio a EVENTO,,,,,,,,,,
Domingo,00.00-07.00h,CAMBIO A EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,,,SALA DE ORQUESTA,,,
12,"EVENTO ICCA 2026                 
FOSO Y CORBATA",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
Abr. 2026,,,,,,,,,,,,
,a 00.00h,CAMBIO A NOVIA VENDIDA,,,,,,,,,,
SEMANA Nº16   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,CAMBIO A NOVIA VENDIDA,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,RESERVADA                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
13,08.30-10.00h,E.Luces NOVIA VENDIDA,,,,,,,11.00-14.00h,L.O.  Cto GERALD FINLEY (1),,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,16.00-19.00h,L.O.  Cto GERALD FINLEY (2),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
