FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº49   PROVISIONAL,,,,,,,,,,,,
,16.00-17.00h,Preparación Función,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    05/16  REP. A,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,"EVENTO ERASMUS                            
FOSO Y CORBATA",,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,SALÓN DE BAILE,
17,,,,,,,,,,,20.00h,Flamenco Real 3         1/3
,,,,,,,,,,,,El Choro & Paula Rodríguez 
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,10.00-14.00h ,AUDICIONES ARTISTICAS,,
,,,,,,,,,18.30-19.30h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Cambio a CARMEN,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    06/16  REP. B,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,SALA DE ORQUESTA,,SALÓN DE BAILE,
18,"GALA DE NAVIDAD TR
ESCENARIO COMPLETO",,,,,,,,RESERVADA CENA PARA AMIGOS JOVENES,,20.00h,Flamenco Real 3         2/3
,,,,,,,,,,,,El Choro & Paula Rodríguez 
,,,,,,,,,,,,
