FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº36   PROVISIONAL,,,,,,,,,,,,
,18.00h,E.Pregeneral OTELLO - Gala Joven - cast A,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miercoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,,
17,08.30-10.00h,E. Luces OTELLO,,,,,,,,,,
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,SALÓN FALLA & TERRAZA,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,18.15h,Cóctel - EVENTO ANDBANK
,10.30-14.30h,E. Luces OTELLO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,12.30h,RUEDA DE PRENSA,,,,,18.00-19.00h,Vocalización Coro,,
,15.00-16.00h,Preparación ensayo,,FLAMENCO REAL,,,,,,,,
,16.00-18.00h,Preparación ensayo,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.00-18.30h,Limpieza,,,,,,,,,,
,19.00h,E.General OTELLO - cast B,,,,,,,,,,
,,,,,,,,,,,,
Sept. 2025,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,,
18,08.30-10.00h,E. Luces OTELLO TV,,,,,,,XX.XX-XX.XXh,PREMIOS DE JURADO EFICACIA,,
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,XX.XXh,PREMIOS DE JURADO EFICACIA,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-13.00h,E. Luces OTELLO TV,,,,,,,,,,
,13.00-16.00h,Preparacion evento,,,,,,,,,,
Sept. 2025,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,14.30-16.00h,Montaje en escenario externo,,,,,,,,,,
,16.00-17.00h,Enmoquetao del espacio,,,,,,,,,,
,17.00-18.00h,Ensayo completo,,,,,,,,,,
,18.00-19.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,19.00-19.30h,Limpiez escenario,,,,,,,,,,
,19.30h,Apertura sala,,,,,,,,,,
,20.00h,GALA entrega de Premios ENDEAVOR 2025,,,,,,,,,,
,a 23.30h,Desmontaje EVENTO y cambio a OTELLO,,,,,,,,,,
Viernes,00.00-01.00h,Cambio a OTELLO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,,
19,08.30-10.00h,E. Luces OTELLO TV,,,,,,,10.30-13.30h,Grupo OSM YOSHIKO,,
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,17.30-19.30h,Grupo OSM JAUME,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO TV,,,,,,,11.00-14.00h,E. musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-18.45h,E. musical Coro,,
,15.00-16.00h,Preparación Función,,,,,,,18.30-19.30h,Vocalización Coro,,
,16.00-17.00h,Montaje Orquesta ,"16.00-19.00h. CURSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Otello, en el crepúsculo shakespeariano de Verdi",,,,,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,OTELLO    01/12  REP. A,,,,,,,,,,
Sept. 2025,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,,,,
20,08.30-10.00h,Dossier Técnico OTELLO,,,,,,,,,,
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,"11.00-14.00h. CURSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Otello, en el crepúsculo shakespeariano de Verdi",,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico OTELLO,,,,,,,18.30-19.30h,Vocalización Coro,,
