FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº40   PROVISIONAL,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.30-13.30h,E.Piano                 MANDARÍN / BARBAZUL,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,,
10,,,,,,,,,11.00-14.00h,L.O.  BALLET BNE (3),,
,,,,,,,,,16.00-19.00h,L.O.  BALLET BNE (4),,
,13.00-14.00h,Montaje equipos & backline Artista,,,,,,,19.00-21.30h,Grupo OSM SEFA,,
,14.00-16.00h,PAUSA PERSONAL EXTERNO,,,15.00-18.00h,E.Piano                                              MANDARÍN / BARBAZUL,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TÉCNICOS TR,,,,,,,,,,
,16.00-18.00h,Prueba de líneas,,,,,,,,,,
,18.00-19.00h,Prueba de sonido,,,,,,,,,,
,19.00-20.30h,Cena personal externo & Retoque afinación,,,,,,,,,,
Oct. 2025,19.30-20.00h,Limpieza escenario,,,,,,,,,,
,20.15h ,Apertura de Puertas,,,,,,,,,,
,21.00-23.30h,CTO. GREGORY PORTER,,,,,,,,,,
,22.30-01.00h,Desmontaje & carga de equipos,,,,,,,,,,
,a 00.00h,Cambio a BNE MEDEA,,,,,,,,,,
Sábado,00.00-07.00h,Cambio a BNE MEDEA,,,,,,,,,,
,06.30h,Llegada dos Camiones BNE,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,,
,08.30-10.00h,Descarga BNE,,,,,,,,,,
11,09.00-10.00h,Montaje BNE MEDEA,,,,,,,11.00-14.00h,Grupo OSM JAVIER,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,15.30-17.00h,Grupo OSM ANDREU,,
,10.00-10.30h,VISITA GENERAL,,,,,,,17.00-20.00h,Grupo OSM SEFA,,
,10.30-14.30h,Montaje BNE MEDEA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Montaje BNE MEDEA,,,,,,,,,,
,15.30-18.00h,Montaje BNE MEDEA,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje BNE MEDEA,,,,,,,,,,
Oct. 2025,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
,23.15-23.30h,Cambio a Domingos de Cámara,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,,
12,08.15-09.30h,Montaje Domingos de Cámara,,,,,,,,,,
,09.30-11.15h,E.Domingos de Cámara I,,,,,,,,,,
,11.15-11.30h,Limpieza,,,,,,,,,,
,12.00h,DOMINGOS DE CÁMARA I,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.30h,Cambio a BNE MEDEA,,,,,,,,,,
,16.00-18.30h,Montaje BNE MEDEA,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Montaje BNE MEDEA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Oct. 2025,22.30-23.15h,Montaje BNE MEDEA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº42   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET	,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                       MANDARÍN / BARBAZUL,08.00 - 15.00h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,,
13,08.30-10.00h,Dirección Luces BNE MEDEA,,,,,,,09.00-18.00h,AUDICIONES OSM,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Dirección Luces BNE MEDEA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical Coro,,
,15.00-16.00h,Dirección Luces BNE MEDEA,,,,,,,16.00-19.00h,E. Musical Coro,,
,16.00-18.30h,Grabacion Técnica BNE MEDEA,,,15.30-18.30h,E.Piano                                                             MANDARÍN / BARBAZUL,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             BALLET NACIONAL DE ESPAÑA,,19.00-20.00h,Audiciones Coro,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,E.Luces BNE MEDEA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Oct. 2025,22.30-23.15h,E.Luces BNE MEDEA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,00.00-07.00h,Carga Otello,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                               MANDARÍN / BARBAZUL,RESERVADA                                                                                        BALLET NACIONAL DE ESPAÑA,,SALA DE ORQUESTA,,SALÓN CARLOS,
14,08.30-10.00h,E.Luces BNE MEDEA,,,,,,,10.00-15.00h,AUDICIONES OSM,08.30-10.30h,PATRONATO FTR
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,E.Luces BNE MEDEA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical Coro,,
,15.00-16.00h,E.Luces BNE MEDEA,,,,,,,16.00-19.00h,E. Musical Coro,,
,15.30-16.30h,Montaje orquesta,,,15.30-18.30h,E.Piano                                                               MANDARÍN / BARBAZUL,,,,,,
,16.00-17.00h,Preparación Ensayo + Limpieza,,,,,,,,,,
,16.30-17.00h,Entrada Bailarines escenario,,,,,,,,,,
,16.00-16.45h,Prueba de Sonido,,,,,,,,,,
,17.00-21.00h,E.Conjunto BNE MEDEA (1),,,,,,,,,,
,21.00-22.00h,Ensayo con Grabación  BNE MEDEA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Oct. 2025,22.30-23.15h,Ajustes Tecnicos BNE MEDEA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,00.00-03.00h,Descarga giratorio,,,,,,,,,,
