SEMANA Nº01   PROVISIONAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
SEMANA Nº01   PROVISIONAL,,,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (4),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje ARIADNA Y BARBAZUL                                                            Montaje SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
14,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. ARIADNA Y BARBAZUL (3),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,16.00-19.00h,L.O. ARIADNA Y BARBAZUL (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,19.00-21.00h,CURSO:,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (5),,Ópera & Shakespeare,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
15,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. ARIADNA Y BARBAZUL (5),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,16.00-19.00h,L.O. ARIADNA Y BARBAZUL (6),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (6),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
